text,category
What is the Constitution of India?,Constitution
When was the Indian Constitution adopted?,Constitution
Who is known as the father of the Indian Constitution?,Constitution
How many articles are there in the Constitution?,Constitution
What are Fundamental Rights?,Fundamental Rights
Explain Article 21,Fundamental Rights
What is Article 19 about?,Fundamental Rights
What does Article 32 guarantee?,Fundamental Rights
What are Fundamental Duties?,Fundamental Duties
How many Fundamental Duties are there?,Fundamental Duties
Which Article mentions Fundamental Duties?,Fundamental Duties
What are Directive Principles of State Policy?,Directive Principles
What is Article 44?,Directive Principles
What does Article 39 say?,Directive Principles
What is IPC?,IPC
What does Section 302 of IPC mean?,IPC
Explain Section 420 of IPC,IPC
What is Section 498A?,IPC
Tell me about Kesavananda Bharati case,Landmark Case
What is the Basic Structure Doctrine?,Landmark Case
What did the Supreme Court decide in Kesavananda Bharati?,Landmark Case
What is the Preamble of India?,Preamble
What are the key words in the Preamble?,Preamble
When was the Preamble adopted?,Preamble
